tSNE_1	tSNE_2	use.colors	cells
PBS_Cells_402	-1.90495076183043	9.20405966964753	#87ceeb	NN_1
PBS_Cells_421	-12.0351575671634	10.8447198951436	#87ceeb	NN_1
PBS_Cells_432	-3.21646994446629	13.4478287315458	#87ceeb	NN_1
PBS_Cells_435	-11.2099347379161	7.01760481748383	#87ceeb	NN_1
PBS_Cells_440	-11.511691849114	11.0721139789621	#87ceeb	NN_1
PBS_Cells_442	-0.549027844590696	3.30116785658402	#87ceeb	NN_1
PBS_Cells_445	-19.6267029534422	3.97432961750484	#87ceeb	NN_1
PBS_Cells_458	-5.27454346089215	3.78940626274277	#87ceeb	NN_1
PBS_Cells_469	-1.68902782054828	14.6657116737432	#87ceeb	NN_1
PBS_Cells_472	-17.3524018965325	1.04178580942901	#87ceeb	NN_1
PBS_Cells_490	-12.0784476868782	11.3474408728143	#87ceeb	NN_1
PBS_Cells_504	-11.7079184989434	4.0687598662172	#87ceeb	NN_1
PBS_Cells_531	-15.4851785066326	8.93870452932563	#87ceeb	NN_1
PBS_Cells_538	-2.0672866183523	12.6256614124106	#87ceeb	NN_1
PBS_Cells_559	-6.11301937548008	16.4563561379806	#87ceeb	NN_1
PBS_Cells_560	-4.27836812953849	5.35766537990946	#87ceeb	NN_1
PBS_Cells_561	-6.40820072152627	16.5219273073794	#87ceeb	NN_1
PBS_Cells_572	-3.42656027051821	6.77085976122411	#87ceeb	NN_1
PBS_Cells_591	-4.46407423551691	10.1664714413888	#87ceeb	NN_1
PBS_Cells_594	2.52854635402617	9.67484698186023	#87ceeb	NN_1
PBS_Cells_605	-3.22399370683372	8.90547604230967	#87ceeb	NN_1
PBS_Cells_623	-5.0440668712305	10.1482723316553	#87ceeb	NN_1
PBS_Cells_627	-4.14538589058197	8.15319410939402	#87ceeb	NN_1
PBS_Cells_632	-9.85953262528824	11.9548075291419	#87ceeb	NN_1
PBS_Cells_648	-3.51419101338129	16.9365394297723	#87ceeb	NN_1
PBS_Cells_651	-20.1376263552674	2.64621078017944	#87ceeb	NN_1
PBS_Cells_654	-14.7709773397055	5.98835730994128	#87ceeb	NN_1
PBS_Cells_680	-3.20597958859551	11.6493443347016	#87ceeb	NN_1
PBS_Cells_685	-19.4578560411652	4.40329815552381	#87ceeb	NN_1
PBS_Cells_719	-16.9703803804436	6.5529830994762	#87ceeb	NN_1
PBS_Cells_725	-14.9775876461274	5.70918573751213	#87ceeb	NN_1
PBS_Cells_742	-1.40175898451301	6.42671010735022	#87ceeb	NN_1
PBS_Cells_751	-10.2489860186343	11.283371779993	#87ceeb	NN_1
PBS_Cells_755	-4.49584468655194	8.54309011790473	#87ceeb	NN_1
PBS_Cells_768	1.32209925802362	6.90953524841896	#87ceeb	NN_1
PBS_Cells_776	-2.64859521106402	15.9609949675735	#87ceeb	NN_1
PBS_Cells_779	-8.54346123459105	5.78656725229285	#87ceeb	NN_1
PBS_Cells_780	-18.6648134798886	5.40800679850382	#87ceeb	NN_1
PBS_Cells_795	-5.43535459532176	10.7831531039622	#87ceeb	NN_1
PBS_Cells_803	-15.6484959291895	7.10626534648565	#87ceeb	NN_1
PBS_Cells_815	-0.613857391267938	11.5758747675185	#87ceeb	NN_1
PBS_Cells_817	-10.2224239531287	9.91852588729865	#87ceeb	NN_1
PBS_Cells_820	-20.5284751388252	2.8897040620643	#87ceeb	NN_1
PBS_Cells_839	0.385112160647517	2.87991493762952	#87ceeb	NN_1
PBS_Cells_840	-17.9076902466352	0.780449499001312	#87ceeb	NN_1
PBS_Cells_849	-15.0069739543777	5.01824528628044	#87ceeb	NN_1
PBS_Cells_852	-2.13752048788664	9.38682551900419	#87ceeb	NN_1
PBS_Cells_853	-8.92808990821858	15.7914992437799	#87ceeb	NN_1
PBS_Cells_869	-6.17379044737396	12.7136736315451	#87ceeb	NN_1
PBS_Cells_881	-14.7387285937947	8.13730795006305	#87ceeb	NN_1
IL4_Cells_6	-19.731342813341	2.68695257723366	#87ceeb	NN_1
IL4_Cells_15	-4.10689986818465	17.645943296627	#87ceeb	NN_1
IL4_Cells_32	-5.42430016143027	12.6002347651326	#87ceeb	NN_1
IL4_Cells_38	-4.95721266294919	11.4985263412967	#87ceeb	NN_1
IL4_Cells_48	-5.35399691043176	9.96185974698284	#87ceeb	NN_1
