tSNE_1	tSNE_2	use.colors	cells
AB42_Cells_148	-27.7839003963167	6.05803151592886	#ff0000	NN_0
AB42_Cells_156	-22.1822885488876	-4.337635018585	#ff0000	NN_0
AB42_Cells_203	-13.9607085392073	-0.473848591239376	#ff0000	NN_0
AB42_Cells_206	-0.832851444857318	-16.1227637879007	#ff0000	NN_0
AB42_Cells_215	-23.0045158179864	-6.75821986050597	#ff0000	NN_0
AB42_Cells_217	-21.6226669602978	-4.80788487830464	#ff0000	NN_0
AB42_Cells_237	-15.6084426717753	4.91226594385514	#ff0000	NN_0
AB42_Cells_247	-27.1914309335572	6.63982112829602	#ff0000	NN_0
AB42_Cells_259	-26.0236174058745	5.54375290942786	#ff0000	NN_0
AB42_Cells_271	-25.9709708537684	5.56980292391846	#ff0000	NN_0
AB42_Cells_275	-27.4384237691831	-0.45146016432782	#ff0000	NN_0
AB42_Cells_277	-22.1980657258972	-4.36085162157499	#ff0000	NN_0
AB42_Cells_299	-19.5714050196578	-8.05274181475607	#ff0000	NN_0
AB42_Cells_301	-21.248195699219	-3.60074113339005	#ff0000	NN_0
AB42_Cells_303	-28.4268863088386	3.2075435334956	#ff0000	NN_0
AB42_Cells_357	-26.931295252622	5.72972726879936	#ff0000	NN_0
AB42_Cells_360	-27.0282470774325	7.13919200885196	#ff0000	NN_0
AB42_Cells_379	-10.5475375129567	1.810957533511	#ff0000	NN_0
AB42_Cells_416	-27.2771087658545	2.50532650660653	#ff0000	NN_0
AB42_Cells_427	-26.5789622057777	6.80297716558734	#ff0000	NN_0
AB42_Cells_436	-21.6329845079847	-4.58099164185432	#ff0000	NN_0
AB42_Cells_438	-21.27316207624	-3.98674322672463	#ff0000	NN_0
AB42_Cells_450	-22.0098423734528	-4.87055591934181	#ff0000	NN_0
AB42_Cells_469	-27.6759237815352	-1.61997539230338	#ff0000	NN_0
AB42_Cells_478	-18.4492099593354	8.24960731322197	#ff0000	NN_0
AB42_Cells_480	-26.6792661775548	7.17801473001947	#ff0000	NN_0
AB42_Cells_484	-22.4350474291349	8.55891433120502	#ff0000	NN_0
AB42_Cells_504	-27.2304198020686	7.06704511306621	#ff0000	NN_0
AB42_Cells_510	-22.4905195579733	2.92289597692241	#ff0000	NN_0
AB42_Cells_513	-18.4502031019852	3.49183195414107	#ff0000	NN_0
AB42_Cells_519	-19.6380599017836	-4.7217877903427	#ff0000	NN_0
AB42_Cells_523	-21.5535242595083	-6.13592956130584	#ff0000	NN_0
AB42_Cells_538	-11.2880157151628	1.84411393252122	#ff0000	NN_0
AB42_Cells_555	-24.9569205277205	8.20120437578047	#ff0000	NN_0
AB42_Cells_566	-18.5649207746271	3.61306927502097	#ff0000	NN_0
AB42_Cells_569	-18.4505263469056	8.19722283586841	#ff0000	NN_0
AB42_Cells_576	-21.9865089076568	-5.41445486122546	#ff0000	NN_0
AB42_Cells_578	-11.6860308697936	-1.66444078932322	#ff0000	NN_0
AB42_Cells_580	-24.5581133568845	6.04250759429374	#ff0000	NN_0
AB42_Cells_585	-29.835782278566	3.39841108829116	#ff0000	NN_0
AB42_Cells_590	-18.3088360376155	3.9345871830115	#ff0000	NN_0
AB42_Cells_623	-19.7538574066974	-3.1379735722837	#ff0000	NN_0
AB42_Cells_647	-27.8626465769467	-0.75725273433341	#ff0000	NN_0
AB42_Cells_656	-28.2800254524009	4.00510150347198	#ff0000	NN_0
AB42_Cells_704	-27.7358544512087	3.31380888475377	#ff0000	NN_0
AB42_Cells_710	-2.51962279096608	-16.107258224182	#ff0000	NN_0
AB42_Cells_716	-28.086191535028	-0.768215960759868	#ff0000	NN_0
AB42_Cells_728	-24.7166267976695	7.9756994139334	#ff0000	NN_0
AB42_Cells_732	-9.9508430073524	1.12062804514929	#ff0000	NN_0
AB42_Cells_734	-25.943801803556	5.91223896171199	#ff0000	NN_0
AB42_Cells_737	-18.0445519834733	-2.62658973623395	#ff0000	NN_0
AB42_Cells_745	-17.2365093392008	6.28440266187982	#ff0000	NN_0
AB42_Cells_749	-22.5149989186721	8.43298927897855	#ff0000	NN_0
AB42_Cells_753	-27.1958486735797	0.307148595373058	#ff0000	NN_0
AB42_Cells_772	-20.2258323923268	-3.15921083383823	#ff0000	NN_0
