tSNE_1	tSNE_2	use.colors	cells
IL4_Cells_472	-1.47954710186811	-4.94252829523786	#98f5ff	PC_0
IL4_Cells_477	-3.67295436455459	-4.65752213851376	#98f5ff	PC_0
IL4_Cells_487	-9.95488767386278	1.4217524679669	#98f5ff	PC_0
IL4_Cells_491	-2.92937690643669	-2.21571286945582	#98f5ff	PC_0
IL4_Cells_505	2.92843402900641	3.66530807507646	#98f5ff	PC_0
IL4_Cells_513	-2.24671883405022	-4.47073121019282	#98f5ff	PC_0
IL4_Cells_518	1.40363116221596	3.41612329095684	#98f5ff	PC_0
IL4_Cells_531	-0.772038176201929	1.93151845704443	#98f5ff	PC_0
IL4_Cells_569	1.28801322030914	9.06226572172443	#98f5ff	PC_0
IL4_Cells_572	-1.3515364110617	2.68962472109564	#98f5ff	PC_0
IL4_Cells_574	-8.59872224043499	-4.93039128349734	#98f5ff	PC_0
IL4_Cells_606	-3.72926350845927	-5.25191658053961	#98f5ff	PC_0
IL4_Cells_643	-1.06505775140845	-3.50070573935295	#98f5ff	PC_0
IL4_Cells_658	-0.693115280607453	3.04636072335535	#98f5ff	PC_0
AB42_Cells_8	4.1251096417285	-0.548833335337648	#98f5ff	PC_0
AB42_Cells_34	3.260031729054	4.96125308622653	#98f5ff	PC_0
AB42_Cells_60	-12.0275198874901	-3.01181082137189	#98f5ff	PC_0
AB42_Cells_70	0.82723068770906	6.09446608046196	#98f5ff	PC_0
AB42_Cells_83	-4.00241179263141	-1.04489697511228	#98f5ff	PC_0
AB42_Cells_90	-2.99897889857967	1.19903932110322	#98f5ff	PC_0
AB42_Cells_128	1.04255448022222	-6.80697452949614	#98f5ff	PC_0
AB42_Cells_137	-2.39412756630817	3.43151335129489	#98f5ff	PC_0
AB42_Cells_141	1.9750017079227	5.20890178984963	#98f5ff	PC_0
AB42_Cells_159	-7.1427509770934	7.46760973449851	#98f5ff	PC_0
AB42_Cells_160	-3.20161314023327	-2.72039227099739	#98f5ff	PC_0
AB42_Cells_167	-4.15467469741569	2.61266765982101	#98f5ff	PC_0
AB42_Cells_174	-4.48445567329082	10.2377357088545	#98f5ff	PC_0
AB42_Cells_175	-8.72519854054451	3.78603245634764	#98f5ff	PC_0
AB42_Cells_178	-5.45444779716863	-3.28953714871037	#98f5ff	PC_0
AB42_Cells_179	1.0745562673382	0.125617492308828	#98f5ff	PC_0
AB42_Cells_181	-8.2898005802646	-4.63862095006405	#98f5ff	PC_0
AB42_Cells_187	-2.57368657982565	-7.90446840148798	#98f5ff	PC_0
